,TEDAVISURESI_SEANS_SAYI
TEDAVISURESI_SEANS_SAYI_SCALED,1.0000000000000027
TEDAVISURESI_TOPLAM_DAKIKA,0.5667072772735092
TEDAVISURESI_TOPLAM_SAAT_SCALED,0.5667072772735077
TEDAVISURESI_TOPLAM_DAKIKA_SCALED,0.5667072772735077
TEDAVISURESI_TOPLAM_SAAT,0.5667072772735072
UYGULAMAYERLERI_TARGET_ENCODED_SCALED,0.38815226315327045
UYGULAMAYERLERI_TARGET_ENCODED,0.38815226315327017
ALERJI_TARGET_ENCODED_SCALED,0.1841512107026902
ALERJI_TARGET_ENCODED,0.18415121070268922
UYGULAMAYERLERI_BINARY_2_SCALED,-0.15145190828690136
UYGULAMAYERLERI_BINARY_2,-0.15145190828690044
TEDAVIADI_COUNT_ENCODED,0.14785376193028862
TEDAVIADI_COUNT_ENCODED_SCALED,0.14785376193028826
EN_SIK_TEDAVI_COUNT_ENCODED_SCALED,0.1477348301453633
EN_SIK_TEDAVI_COUNT_ENCODED,0.14773483014536293
HASTANO_COUNT,0.14131954636281988
UYGULAMAYERLERI_BINARY_4,-0.13725968474462835
UYGULAMAYERLERI_BINARY_4_SCALED,-0.13725968474462835
TEDAVIADI_TFIDF_dorsalji,0.13085717488828252
TEDAVIADI_TFIDF_dorsalji_SCALED,0.13085717488828244
REPETITIVE_DATA,0.12910434757257896
TEDAVI_SAYISI_UNIQUE_SCALED,-0.12017834442445917
TEDAVI_SAYISI_UNIQUE,-0.12017834442445909
TANILAR_TFIDF_di,0.1157928598460422
TANILAR_TFIDF_ğer,0.1157928598460422
TANILAR_TFIDF_ğer_SCALED,0.11579285984604205
TANILAR_TFIDF_di_SCALED,0.11579285984604205
EN_SIK_TEDAVI_HASH_2_SCALED,-0.11356827099342996
EN_SIK_TEDAVI_HASH_2,-0.11356827099342992
TEDAVIADI_SAYI,0.11001667275146687
TEDAVIADI_SAYI_SCALED,0.1100166727514667
TANILAR_TFIDF_dorsalji,0.10644290684716301
TANILAR_TFIDF_dorsalji_SCALED,0.10644290684716291
ALERJI_BINARY_1_SCALED,-0.1026018673536588
ALERJI_BINARY_1,-0.10260186735365878
TANILAR_COUNT_ENCODED,0.1022936462739648
TANILAR_COUNT_ENCODED_SCALED,0.10229364627396477
TEDAVIADI_HASH_2,-0.09744565639110092
TEDAVIADI_HASH_2_SCALED,-0.09744565639110088
EN_SIK_TEDAVI_HASH_1,-0.09003510779651824
EN_SIK_TEDAVI_HASH_1_SCALED,-0.09003510779651798
HAS_HYPERTENSION,-0.08814703616683874
TANILAR_TFIDF_bölge_SCALED,0.08562916478025055
TANILAR_TFIDF_bölge,0.08562916478025054
TANILAR_TFIDF_lumbosakral,0.08330426144814873
TANILAR_TFIDF_lumbosakral_SCALED,0.08330426144814866
KRONIKHASTALIK_TFIDF_distrofi,-0.08167557791343945
KRONIKHASTALIK_TFIDF_distrofi_SCALED,-0.08167557791343916
KRONIKHASTALIK_HASH_4_SCALED,-0.08141228205725795
KRONIKHASTALIK_HASH_4,-0.08141228205725785
TEDAVIADI_TFIDF_trapez_SCALED,0.0806293932195013
TEDAVIADI_TFIDF_trapez,0.08062939321950115
HAS_DIABETES,-0.08045126887538044
KRONIKHASTALIK_TFIDF_gravis,0.07923942820794179
KRONIKHASTALIK_TFIDF_myastenia,0.07923942820794179
KRONIKHASTALIK_TFIDF_myastenia_SCALED,0.0792394282079416
KRONIKHASTALIK_TFIDF_gravis_SCALED,0.0792394282079416
UYGULAMASURESI_SAAT,0.07770102989604032
UYGULAMASURESI_SAAT_SCALED,0.0777010298960403
